[ 22:40:05 ]CECE :30 [°C], 69.96 RH, 0.9416 bar

[ 22:40:05 ]EEEE :32 [°C], 64.47 RH, 0.9391 bar

[ 22:40:05 ]DAD1 :30 [°C], 68.00 RH, 0.9397 bar

[ 22:40:05 ]CCCC :30 [°C], 67.25 RH, 0.9391 bar

[ 22:40:08 ]CCCC :30 [°C], 67.25 RH, 0.9403 bar

[ 22:40:08 ]DAD1 :30 [°C], 67.90 RH, 0.9391 bar

[ 22:40:09 ]EEEE :32 [°C], 64.35 RH, 0.9391 bar

[ 22:40:09 ]CECE :30 [°C], 69.87 RH, 0.9397 bar

[ 22:40:15 ]EEEE :32 [°C], 64.33 RH, 0.9391 bar

[ 22:40:15 ]CCCC :30 [°C], 67.19 RH, 0.9403 bar

[ 22:40:15 ]DAD1 :30 [°C], 67.78 RH, 0.9403 bar

[ 22:40:15 ]CECE :30 [°C], 69.78 RH, 0.9410 bar

[ 22:40:21 ]CECE :30 [°C], 69.70 RH, 0.9410 bar

[ 22:40:21 ]DAD1 :30 [°C], 67.68 RH, 0.9397 bar

[ 22:40:21 ]EEEE :32 [°C], 64.24 RH, 0.9391 bar

[ 22:40:21 ]CCCC :30 [°C], 67.00 RH, 0.9397 bar

[ 22:40:24 ]CECE :30 [°C], 69.61 RH, 0.9403 bar

[ 22:40:24 ]CCCC :30 [°C], 66.98 RH, 0.9410 bar

[ 22:40:24 ]DAD1 :30 [°C], 67.62 RH, 0.9391 bar

[ 22:40:24 ]EEEE :33 [°C], 64.08 RH, 0.9391 bar

[ 22:40:30 ]CECE :30 [°C], 69.45 RH, 0.9403 bar

[ 22:40:30 ]CCCC :30 [°C], 66.86 RH, 0.9416 bar

[ 22:40:30 ]DAD1 :30 [°C], 67.55 RH, 0.9403 bar

[ 22:40:30 ]EEEE :33 [°C], 63.91 RH, 0.9391 bar

[ 22:40:36 ]CCCC :30 [°C], 66.69 RH, 0.9397 bar

[ 22:40:36 ]BEB2 :28 [°C], 77.42 RH, 0.9410 bar

[ 22:40:36 ]CECE :30 [°C], 69.40 RH, 0.9403 bar

[ 22:40:36 ]EEEE :33 [°C], 63.66 RH, 0.9397 bar

[ 22:40:36 ]DAD1 :30 [°C], 67.49 RH, 0.9391 bar

[ 22:40:39 ]BEB2 :28 [°C], 77.19 RH, 0.9397 bar

[ 22:40:39 ]CCCC :30 [°C], 66.63 RH, 0.9410 bar

[ 22:40:39 ]CECE :30 [°C], 69.35 RH, 0.9391 bar

[ 22:40:39 ]EEEE :33 [°C], 63.64 RH, 0.9391 bar

[ 22:40:39 ]DAD1 :30 [°C], 67.49 RH, 0.9403 bar

[ 22:40:42 ]CCCC :30 [°C], 66.57 RH, 0.9403 bar

[ 22:40:42 ]BEB2 :28 [°C], 77.00 RH, 0.9403 bar

[ 22:40:42 ]CECE :30 [°C], 69.26 RH, 0.9378 bar

