[ 06:56:56 ]BEB2 :24 [°C], 76.16 RH, 0.9244 bar

[ 06:56:59 ]BEB2 :24 [°C], 76.20 RH, 0.9244 bar

[ 06:57:02 ]BEB2 :24 [°C], 76.17 RH, 0.9244 bar

[ 06:57:14 ]BEB2 :24 [°C], 75.90 RH, 0.9244 bar

[ 06:57:17 ]BEB2 :24 [°C], 75.87 RH, 0.9244 bar

[ 07:26:22 ]EEEE :24 [°C], 76.31 RH, 0.9232 bar

[ 07:26:22 ]DAD1 :24 [°C], 74.44 RH, 0.9251 bar

[ 07:26:22 ]CCCC :24 [°C], 73.25 RH, 0.9238 bar

[ 07:26:22 ]CECE :24 [°C], 77.08 RH, 0.9232 bar

[ 07:26:25 ]EEEE :24 [°C], 76.17 RH, 0.9232 bar

[ 07:26:25 ]CECE :24 [°C], 77.05 RH, 0.9232 bar

[ 07:26:25 ]DAD1 :24 [°C], 74.37 RH, 0.9238 bar

[ 07:26:28 ]CCCC :24 [°C], 73.09 RH, 0.9238 bar

[ 07:26:28 ]EEEE :24 [°C], 76.03 RH, 0.9238 bar

[ 07:26:29 ]CECE :24 [°C], 77.02 RH, 0.9232 bar

[ 07:26:29 ]DAD1 :24 [°C], 74.34 RH, 0.9251 bar

[ 07:26:32 ]DAD1 :24 [°C], 74.31 RH, 0.9238 bar

[ 07:26:32 ]EEEE :24 [°C], 75.89 RH, 0.9238 bar

[ 07:26:32 ]CECE :24 [°C], 76.96 RH, 0.9244 bar

[ 07:26:32 ]CCCC :24 [°C], 73.02 RH, 0.9238 bar

[ 07:26:38 ]CCCC :24 [°C], 72.72 RH, 0.9244 bar

[ 07:26:38 ]CECE :24 [°C], 76.88 RH, 0.9232 bar

[ 07:26:38 ]EEEE :25 [°C], 75.63 RH, 0.9244 bar

[ 07:26:38 ]DAD1 :24 [°C], 74.28 RH, 0.9238 bar

[ 07:26:47 ]EEEE :25 [°C], 75.12 RH, 0.9244 bar

[ 07:26:47 ]CECE :24 [°C], 76.73 RH, 0.9238 bar

[ 07:26:47 ]DAD1 :24 [°C], 74.18 RH, 0.9238 bar

[ 07:26:47 ]CCCC :25 [°C], 72.32 RH, 0.9232 bar

[ 07:26:50 ]EEEE :25 [°C], 74.96 RH, 0.9232 bar

[ 07:26:50 ]DAD1 :24 [°C], 74.15 RH, 0.9238 bar

[ 07:26:50 ]CCCC :25 [°C], 72.15 RH, 0.9219 bar

[ 07:26:50 ]CECE :24 [°C], 76.65 RH, 0.9238 bar

[ 08:10:14 ]DAD1 :29 [°C], 63.77 RH, 0.9251 bar

[ 08:10:14 ]EEEE :29 [°C], 64.23 RH, 0.9244 bar

[ 08:10:14 ]CECE :30 [°C], 64.39 RH, 0.9225 bar

[ 08:10:14 ]CCCC :30 [°C], 61.00 RH, 0.9244 bar

[ 08:10:17 ]EEEE :29 [°C], 64.25 RH, 0.9244 bar

[ 08:10:17 ]CCCC :30 [°C], 61.00 RH, 0.9232 bar

[ 08:10:17 ]DAD1 :29 [°C], 63.80 RH, 0.9238 bar

[ 08:10:17 ]CECE :30 [°C], 64.39 RH, 0.9232 bar

[ 08:10:20 ]CECE :30 [°C], 64.39 RH, 0.9232 bar

[ 08:10:20 ]DAD1 :29 [°C], 63.83 RH, 0.9238 bar

[ 08:10:20 ]EEEE :29 [°C], 64.31 RH, 0.9244 bar

[ 08:10:20 ]CCCC :30 [°C], 61.00 RH, 0.9238 bar

[ 08:10:23 ]CECE :30 [°C], 64.39 RH, 0.9238 bar

[ 08:10:23 ]EEEE :29 [°C], 64.31 RH, 0.9244 bar

[ 08:10:23 ]CCCC :30 [°C], 60.94 RH, 0.9232 bar

[ 08:10:23 ]DAD1 :29 [°C], 63.87 RH, 0.9225 bar

[ 08:10:26 ]CECE :30 [°C], 64.39 RH, 0.9232 bar

[ 08:10:26 ]DAD1 :29 [°C], 63.90 RH, 0.9238 bar

[ 08:10:26 ]CCCC :30 [°C], 60.94 RH, 0.9244 bar

[ 08:10:26 ]EEEE :29 [°C], 64.34 RH, 0.9238 bar

[ 08:10:29 ]EEEE :29 [°C], 64.37 RH, 0.9244 bar

[ 08:10:29 ]CCCC :30 [°C], 60.94 RH, 0.9232 bar

[ 08:10:29 ]CECE :30 [°C], 64.39 RH, 0.9232 bar

[ 08:10:29 ]DAD1 :29 [°C], 63.90 RH, 0.9238 bar

[ 08:10:32 ]CCCC :30 [°C], 60.94 RH, 0.9244 bar

[ 08:10:32 ]CECE :30 [°C], 64.39 RH, 0.9232 bar

[ 08:10:32 ]EEEE :29 [°C], 64.40 RH, 0.9238 bar

[ 08:10:33 ]DAD1 :29 [°C], 63.90 RH, 0.9225 bar

[ 08:10:36 ]DAD1 :29 [°C], 63.92 RH, 0.9225 bar

[ 08:10:36 ]EEEE :29 [°C], 64.40 RH, 0.9244 bar

[ 08:10:36 ]CECE :30 [°C], 64.39 RH, 0.9238 bar

